"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1998",246481.42055457,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1999",251919.06806397,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2000",256806.08421725,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2001",254426.90177657,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2002",260519.1862561,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2003",267143.38190997,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2004",279135.62501935,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2005",279904.61737105,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2006",275480.52842749,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2007",278956.61243652,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2008",280755.51153837,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2009",279946.68316454,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2010",281770.08650229,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2011",284788.79820055,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2012",287595.20072479,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2013",293369.30220828,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2014",297943.89901031,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2015",301444.63861019,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2016",303530.0107798,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2017",305705.15610768,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2018",308067.17045018,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2019",306963.41888892,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2020",282439.42530623,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2021",282449.06126269,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1998",112960,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1999",116460,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2000",119400,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2001",121470,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2002",123960,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2003",124730,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2004",126800,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2005",126960,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2006",127990,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2007",130810,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2008",130620,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2009",131060,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2010",126773,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2011",127640,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2012",128046,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2013",121530,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2014",123980,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2015",122240,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","2016",119500,
"CAN","PASSTRANSP","ROAD","MLN_PKM","A","1998",500000,
"CAN","PASSTRANSP","ROAD","MLN_PKM","A","1999",501000,
"CAN","PASSTRANSP","ROAD","MLN_PKM","A","2000",502000,
"CAN","PASSTRANSP","ROAD","MLN_PKM","A","2001",481000,
"CAN","PASSTRANSP","ROAD","MLN_PKM","A","2002",493000,
"CAN","PASSTRANSP","ROAD","MLN_PKM","A","2003",485000,
"CAN","PASSTRANSP","ROAD","MLN_PKM","A","2004",488368,
"CAN","PASSTRANSP","ROAD","MLN_PKM","A","2005",512736,
"CAN","PASSTRANSP","ROAD","MLN_PKM","A","2006",510103,
"CAN","PASSTRANSP","ROAD","MLN_PKM","A","2007",503471,
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","1998",68461,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","1999",71049,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2000",73291,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2001",74078,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2002",74958,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2003",76809,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2004",76086,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2005",77248,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2006",79131,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2007",81059,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2008",81749,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2009",81784,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2010",74386,
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2011",74757,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2012",73275,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2013",73676,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2014",76270,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2015",79700.9,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2016",82512.1,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2017",85504.8,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2018",88921.4,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2019",91726,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2020",74380,"E"
"CZE","PASSTRANSP","ROAD","MLN_PKM","A","2021",93335.1325,"E"
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","1998",63942,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","1999",65010,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2000",64194,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2001",63386,
"DNK","PASSTRANSP","ROAD","MLN_PKM","A","2002",63473,
